央视,#genre#
黑龙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225736/index.m3u8
黑龙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225690/index.m3u8
上海纪实人文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225654/index.m3u8
上海纪实人文,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225655/index.m3u8
北京冬奥纪实,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225675/index.m3u8
北京冬奥纪实,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225676/index.m3u8
东南卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225657/5/index.m3u8
东南卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225585/5/index.m3u8
东方卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225658/5/index.m3u8
东方卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225489/5/index.m3u8
东方卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225659/5/index.m3u8
北京卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225673/5/index.m3u8
北京卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225600/5/index.m3u8
北京卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225674/5/index.m3u8
四川卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225487/5/index.m3u8
天津卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225739/5/index.m3u8
天津卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225485/5/index.m3u8
天津卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225698/5/index.m3u8
安徽卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225737/5/index.m3u8
安徽卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225691/5/index.m3u8
山东卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225738/5/index.m3u8
山东卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225484/5/index.m3u8
山东卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225697/5/index.m3u8
广东卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225742/5/index.m3u8
广东卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225597/5/index.m3u8
广东卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225701/5/index.m3u8
广西卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221226211/5/index.m3u8
江苏卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225743/5/index.m3u8
江苏卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225488/5/index.m3u8
江苏卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225702/5/index.m3u8
江西卫视,http://39.135.138.8:6610/PLTV/88888888/224/3221225705/5/index.m3u8
